timestamp,timestamp_sample,lat,lon,alt,alt_ellipsoid,delta_alt,eph,epv,terrain_alt,lat_lon_reset_counter,alt_reset_counter,terrain_alt_valid,dead_reckoning
23116000,23116000,29.660324604661838,-82.31664728880394,32.750263,32.69689,0.0,1.1186628,1.1108797,nan,1,0,0,0
23316000,23316000,29.660324629138582,-82.31664731518434,32.94245,32.886154,0.0,1.1077316,1.1104944,nan,1,0,0,0
23516000,23516000,29.660324682243232,-82.31664731242017,33.13408,33.07778,0.0,1.119036,1.1121078,nan,1,0,0,0
23708000,23708000,29.66032470164754,-82.31664735972373,33.314266,33.255417,0.0,1.1072148,1.1093225,nan,1,0,0,0
23916000,23916000,29.660324708472185,-82.31664744829237,33.510674,33.451824,0.0,1.1194066,1.1112775,nan,1,0,0,0
24116000,24116000,29.66032474329057,-82.31664757701984,33.703365,33.642635,0.0,1.1077957,1.1089566,nan,1,0,0,0
24316000,24316000,29.66032478678602,-82.31664770796723,33.899128,33.838398,0.0,1.1196905,1.110535,nan,1,0,0,0
24508000,24508000,29.660324824165578,-82.31664774505903,34.087593,34.025326,0.0,1.107393,1.1079488,nan,1,0,0,0
24708000,24708000,29.660324844120787,-82.31664772358806,34.284874,34.222607,0.0,1.1192058,1.1095502,nan,1,0,0,0
24916000,24916000,29.66032485051064,-82.31664768423141,34.491478,34.42787,0.0,1.1080494,1.107752,nan,1,0,0,0
25108000,25108000,29.66032483720375,-82.31664764150993,34.681297,34.61769,0.0,1.1193086,1.1089518,nan,1,0,0,0
25316000,25316000,29.660324824676746,-82.31664758840493,34.88814,34.82374,0.0,1.1081698,1.1072341,nan,1,0,0,0
25516000,25516000,29.660324820538957,-82.31664754570629,35.086502,35.0221,0.0,1.1199894,1.10889,nan,1,0,0,0
25716000,25716000,29.66032482324886,-82.31664751281215,35.28952,35.224846,0.0,1.108268,1.1068428,nan,1,0,0,0
25916000,25916000,29.66032482122588,-82.31664749706572,35.4904,35.425724,0.0,1.1199487,1.1084443,nan,1,0,0,0
26108000,26108000,29.660324832833805,-82.31664749167638,35.68144,35.615932,0.0,1.1078148,1.107907,nan,1,0,0,0
26316000,26316000,29.660324857719864,-82.31664750359671,35.887417,35.82191,0.0,1.1198572,1.1079828,nan,1,0,0,0
26516000,26516000,29.660324873649767,-82.31664750974313,36.088425,36.022594,0.0,1.108377,1.1078293,nan,1,0,0,0
26716000,26716000,29.660324882656464,-82.31664750695168,36.288635,36.222805,0.0,1.1197225,1.1094536,nan,1,0,0,0
26916000,26916000,29.660324902020125,-82.3166475125687,36.492268,36.42638,0.0,1.1083825,1.1073476,nan,1,0,0,0
27116000,27116000,29.660324916217554,-82.31664751036921,36.69278,36.626892,0.0,1.1195523,1.1089296,nan,1,0,0,0
27316000,27316000,29.660324951032525,-82.31664750665884,36.892887,36.826405,0.0,1.1083553,1.106885,nan,1,0,0,0
27516000,27516000,29.66032498692944,-82.31664750448333,37.089497,37.023014,0.0,1.119356,1.1085482,nan,1,0,0,0
27716000,27716000,29.66032501447305,-82.31664751546909,37.289635,37.22269,0.0,1.1082973,1.106562,nan,1,0,0,0
27916000,27916000,29.660325021733378,-82.3166475261435,37.487526,37.42058,0.0,1.1191454,1.1063728,nan,1,0,0,0
28116000,28116000,29.660325033301266,-82.31664753471587,37.689095,37.62259,0.0,1.1082138,1.1063268,nan,1,0,0,0
28316000,28316000,29.66032503644121,-82.31664756289055,37.890118,37.823612,0.0,1.1189305,1.1061764,nan,1,0,0,0
28516000,28516000,29.66032504150159,-82.31664757329517,38.092903,38.026505,0.0,1.1081107,1.1043689,nan,1,0,0,0
28716000,28716000,29.660325047364278,-82.31664757739843,38.292103,38.225704,0.0,1.1187227,1.1061059,nan,1,0,0,0
28916000,28916000,29.660325076395498,-82.31664757460972,38.49754,38.431816,0.0,1.1079966,1.1043241,nan,1,0,0,0
29116000,29116000,29.660325098737122,-82.31664757740204,38.69989,38.634167,0.0,1.1185372,1.1060691,nan,1,0,0,0
29308000,29308000,29.66032509511595,-82.31664757887361,38.887108,38.82208,0.0,1.107398,1.1057174,nan,1,0,0,0
29516000,29516000,29.660325058369157,-82.31664758133742,39.087315,39.022285,0.0,1.1183829,1.1078491,nan,1,0,0,0
29716000,29716000,29.660325060725345,-82.31664759814701,39.28109,39.217136,0.0,1.1077704,1.1041602,nan,1,0,0,0
29916000,29916000,29.66032505954933,-82.31664760730546,39.47553,39.411575,0.0,1.118272,1.1077375,nan,1,0,0,0
